,loss,SSIMLoss,PSNRLoss,residual_loss,SSIM_res_loss,PSNRsq,mae,acc,val_loss,val_SSIMLoss,val_PSNRLoss,val_residual_loss,val_SSIM_res_loss,val_PSNRsq,val_mae,val_acc
0,0.4975622594356537,0.49756065011024475,159.9304656982422,0.04646977782249451,160.47439575195312,29910.892578125,0.21499401330947876,0.504966676235199,0.48500025272369385,0.4848201274871826,155.4679718017578,0.04912274330854416,156.0022430419922,28698.8359375,0.22188808023929596,0.5390715003013611
1,0.4962441325187683,0.49624237418174744,160.982421875,0.04586995393037796,161.5246124267578,30216.78125,0.21380464732646942,0.5044718980789185,0.4845805764198303,0.48439058661460876,155.27166748046875,0.049147021025419235,155.8056640625,28623.5703125,0.22194096446037292,0.5200109481811523
2,0.4961709976196289,0.4961698651313782,161.10147094726562,0.04582829028367996,161.64370727539062,30254.763671875,0.2136964201927185,0.5054745674133301,0.4846680164337158,0.48449453711509705,155.78353881835938,0.04878247529268265,156.31723022460938,28674.6875,0.22113075852394104,0.5159802436828613
3,0.49610307812690735,0.49609801173210144,161.1236572265625,0.045811958611011505,161.66555786132812,30255.365234375,0.21366098523139954,0.5055435299873352,0.4850400984287262,0.48487013578414917,155.9282989501953,0.04865994676947594,156.4622344970703,28615.357421875,0.2208617627620697,0.5152744054794312
4,0.49605900049209595,0.49605706334114075,161.1559600830078,0.04579446464776993,161.69815063476562,30266.798828125,0.21362709999084473,0.5047545433044434,0.48454931378364563,0.4843722879886627,156.01361083984375,0.04871460422873497,156.54705810546875,28733.314453125,0.22097748517990112,0.5498189330101013
5,0.49603894352912903,0.4960397779941559,161.1630859375,0.04579171910881996,161.70486450195312,30268.599609375,0.2136286050081253,0.5046801567077637,0.4847067892551422,0.4845302999019623,155.9699249267578,0.048642847687006,156.50352478027344,28664.951171875,0.22082065045833588,0.5179052948951721
6,0.49603670835494995,0.4960351586341858,161.1676483154297,0.04578297212719917,161.70945739746094,30261.9140625,0.2136106640100479,0.5040177702903748,0.48465874791145325,0.48448875546455383,155.9061279296875,0.048658326268196106,156.43968200683594,28643.6484375,0.22085429728031158,0.49720078706741333
7,0.4960079789161682,0.4960114359855652,161.16964721679688,0.04576808214187622,161.71156311035156,30260.607421875,0.21359923481941223,0.5048646926879883,0.4845474660396576,0.48437386751174927,155.92236328125,0.04872597008943558,156.4558563232422,28706.517578125,0.22100356221199036,0.5176357626914978
8,0.49603086709976196,0.4960317015647888,161.17752075195312,0.04578152671456337,161.7194366455078,30261.89453125,0.21359413862228394,0.5049498081207275,0.4846169352531433,0.4844471514225006,156.05807495117188,0.04867476224899292,156.59153747558594,28738.083984375,0.22089031338691711,0.5328134894371033
9,0.4960179626941681,0.49601662158966064,161.17286682128906,0.045785341411828995,161.7145538330078,30262.12109375,0.2135981023311615,0.5044215321540833,0.48475024104118347,0.484580397605896,156.06532287597656,0.04883791133761406,156.59918212890625,28792.94140625,0.22125378251075745,0.5141580104827881
10,0.49600324034690857,0.4960028827190399,161.18304443359375,0.045769188553094864,161.72500610351562,30260.458984375,0.21358069777488708,0.5046181082725525,0.48464706540107727,0.4844646155834198,155.75765991210938,0.04883962124586105,156.2913055419922,28697.60546875,0.22125639021396637,0.5356033444404602
11,0.49599140882492065,0.4959922432899475,161.20460510253906,0.04576079547405243,161.7463836669922,30271.919921875,0.21357128024101257,0.5044479370117188,0.4846649467945099,0.4844828248023987,155.3488311767578,0.048968952149152756,155.88265991210938,28583.7734375,0.22154636681079865,0.5439980626106262
12,0.4959983229637146,0.4959988296031952,161.18289184570312,0.04577949643135071,161.72476196289062,30263.4921875,0.21358640491962433,0.5044383406639099,0.4849984347820282,0.4848434627056122,156.1996307373047,0.048592690378427505,156.73341369628906,28681.43359375,0.22071559727191925,0.4777994155883789
13,0.4959767162799835,0.4959827661514282,161.1931610107422,0.045762091875076294,161.73513793945312,30258.8046875,0.21356813609600067,0.5042792558670044,0.48465386033058167,0.48447442054748535,155.88609313964844,0.04870111122727394,156.41969299316406,28661.68359375,0.2209494560956955,0.5386033058166504
14,0.49597200751304626,0.4959672689437866,161.19276428222656,0.04576690495014191,161.73448181152344,30261.837890625,0.21357101202011108,0.504302442073822,0.4845796823501587,0.4843982756137848,155.6690216064453,0.04885052889585495,156.20269775390625,28673.50390625,0.22128069400787354,0.5314443111419678
