,loss,SSIMLoss,PSNRLoss,residual_loss,SSIM_res_loss,PSNRsq,mae,acc,val_loss,val_SSIMLoss,val_PSNRLoss,val_residual_loss,val_SSIM_res_loss,val_PSNRsq,val_mae,val_acc
0,0.2303280383348465,0.2302878499031067,241.36387634277344,0.021264953538775444,241.61550903320312,65455.30859375,0.14256994426250458,0.46782055497169495,0.13442832231521606,0.134456604719162,273.19598388671875,0.015111093409359455,273.34576416015625,82947.6015625,0.12358785420656204,0.4081275463104248
1,0.11924735456705093,0.11924415081739426,281.991455078125,0.014060486108064651,282.1249694824219,87412.1875,0.11849606037139893,0.4543971121311188,0.10999500751495361,0.11001647263765335,284.0862121582031,0.013780385255813599,284.2101135253906,89623.0859375,0.11800377070903778,0.4801923930644989
2,0.10055392980575562,0.10054739564657211,293.0176086425781,0.012930506840348244,293.1310119628906,94252.6484375,0.11364402621984482,0.4602993428707123,0.09615864604711533,0.09621215611696243,292.1131896972656,0.013068237341940403,292.22247314453125,94925.8203125,0.11490632593631744,0.4465748071670532
3,0.09102606773376465,0.0910264104604721,298.5548400878906,0.012423097155988216,298.6578674316406,97897.5234375,0.11139834672212601,0.4655776619911194,0.09315210580825806,0.09324511885643005,290.09521484375,0.013235826976597309,290.2017822265625,93376.5546875,0.11565282940864563,0.4787707030773163
4,0.08848626911640167,0.08849363029003143,300.01129150390625,0.012291057035326958,300.11163330078125,98977.0234375,0.11080349236726761,0.4694686233997345,0.0911090299487114,0.09119928628206253,288.3220520019531,0.013367438688874245,288.4266662597656,92531.125,0.11622510850429535,0.45603084564208984
5,0.08698016405105591,0.086977519094944,300.7000732421875,0.012222175486385822,300.79937744140625,99475.0234375,0.1104944497346878,0.4707367718219757,0.09084808081388474,0.09093108773231506,288.5496826171875,0.013293679803609848,288.6538391113281,92636.2265625,0.11590524762868881,0.4626585841178894
6,0.08554882556200027,0.08555147051811218,301.9109802246094,0.012107785791158676,302.0083923339844,100299.09375,0.10998298972845078,0.47045937180519104,0.08840934187173843,0.08848235011100769,293.6505126953125,0.012857833877205849,293.75189208984375,95954.25,0.11398525536060333,0.46010157465934753
7,0.07894118130207062,0.07893875241279602,309.23406982421875,0.011451894417405128,309.3247375488281,104907.203125,0.10695351660251617,0.4778764843940735,0.07960435003042221,0.0796005129814148,304.5726623535156,0.011959363706409931,304.66424560546875,102854.4609375,0.10991457849740982,0.47488632798194885
8,0.07471925765275955,0.07471531629562378,314.3904724121094,0.010996130295097828,314.4761047363281,108382.53125,0.10480396449565887,0.4969279170036316,0.07696959376335144,0.07690746337175369,308.4548034667969,0.011466256342828274,308.5433349609375,105453.359375,0.10761937499046326,0.520058810710907
9,0.07139873504638672,0.07140083611011505,321.9920349121094,0.010357438586652279,322.0733642578125,113487.578125,0.10170836746692657,0.532975435256958,0.07192865014076233,0.07186039537191391,319.5225830078125,0.010383822955191135,319.60498046875,111875.25,0.10243777930736542,0.53598552942276
10,0.06753510981798172,0.06753222644329071,329.8921813964844,0.009726040996611118,329.96990966796875,118958.984375,0.09856846183538437,0.5548520684242249,0.07220473885536194,0.07205832004547119,304.48980712890625,0.011431930586695671,304.5736389160156,100513.9609375,0.10750369727611542,0.5850326418876648
11,0.06603643298149109,0.06603991240262985,331.66668701171875,0.009600471705198288,331.7423095703125,120360.6875,0.09792707860469818,0.5602042078971863,0.06976483762264252,0.06966976076364517,311.5013427734375,0.010923790745437145,311.5821228027344,106085.5078125,0.10506953299045563,0.5272423624992371
12,0.06499003618955612,0.06498550623655319,332.748291015625,0.009526598267257214,332.8226623535156,121172.9140625,0.0975491851568222,0.5621243715286255,0.06882081925868988,0.06873632222414017,327.70098876953125,0.00983828492462635,327.7796630859375,118030.171875,0.0997016504406929,0.5685369372367859
13,0.06361322104930878,0.06360103189945221,334.9189758300781,0.009374192915856838,334.9926452636719,122726.7109375,0.0967690497636795,0.5663042068481445,0.06548193097114563,0.0653630718588829,333.4361877441406,0.009397420100867748,333.51116943359375,122416.0546875,0.09744733572006226,0.5986909866333008
14,0.05995474383234978,0.05996087193489075,340.03179931640625,0.009046521037817001,340.1004333496094,126375.0703125,0.09506769478321075,0.5710266828536987,0.06271394342184067,0.0626283586025238,331.6159362792969,0.009493150748312473,331.6882019042969,120674.9296875,0.09793926775455475,0.520851731300354
